uni,city,zip,latitude,longitude,admission,act,sat,under,cost,debt
Middlebury College,Middlebury,5753,44.009117,-73.176068,0.171690055,32,1379,2498,59470,15666
Stevens Institute of Technology,Hoboken,07030-5991,40.744776,-74.025334,0.437764933,31,1346,2842,59384,26501
Colby College,Waterville,04901-8840,44.564211,-69.66337,0.28049728,30,1333,1847,59110,18000
Fordham University,Bronx,10458,40.861183,-73.889578,0.481154673,28,1254,8485,59105,21422.5
Wellesley College,Wellesley,02481-8203,42.293765,-71.307966,0.301061571,32,1390,2172,59092,8200
Santa Clara University,Santa Clara,95053,37.352706,-121.938189,0.493493493,30,1309,5447,59020,19500
Massachusetts Institute of Technology,Cambridge,02139-4307,42.360095,-71.092115,0.07882981,34,1500,4476,59020,14000
Chapman University,Orange,92866,33.793678,-117.851481,0.470376589,27,1210,6211,58948,19000
California Institute of Technology,Pasadena,91125,34.139275,-118.12574,0.088275862,35,1545,983,58755,10750
Drew University,Madison,7940,40.757026,-74.425825,0.701728684,25,1118,1356,58700,25000
Washington and Lee University,Lexington,24450-2116,37.787832,-79.445724,0.194620524,32,1395,1880,58575,21500
Villanova University,Villanova,19085-1699,40.039388,-75.345457,0.493346068,30,1313,6895,58519,24250
Saint Mary's College of California,Moraga,94575,37.83997,-122.106795,0.75950668,25,1109,2949,58362,21500
St John's College,Annapolis,21401,38.981513,-76.491397,0.869565217,30,1323,429,58321,21000
Jewish Theological Seminary of America,New York,10027-4649,40.811959,-73.960287,0.618556701,29,1330,156,58278,19500
Southern California Institute of Architecture,Los Angeles,90013-1822,34.04365,-118.232703,0.807881773,24,1151,263,58142,37500
University of San Francisco,San Francisco,94117-1080,37.775564,-122.450977,0.600527281,26,1152,6745,58039,21500
Northeastern University,Boston,02115-5005,42.339992,-71.088782,0.322206387,32,1420,13492,57981,25000
The New School,New York,10011-8603,40.735275,-73.994636,0.659018143,25,1117,6695,57945,19500
Pratt Institute-Main,Brooklyn,11205,40.691154,-73.962149,0.529894276,26,1141,3232,57783,22500
University of San Diego,San Diego,92110-2492,32.77142,-117.188721,0.46248333,28,1243,5656,57593,19740
Dominican University of California,San Rafael,94901-2298,37.980014,-122.514654,0.809248555,23,1047,1448,57579,25000
University of Richmond,University of Richmond,23173,37.577625,-77.538702,0.318012297,31,1337,3223,57535,19000
Macalester College,Saint Paul,55105-1899,44.936709,-93.169855,0.363453505,30,1354,2053,57478,22477
Davidson College,Davidson,28035,35.500006,-80.845236,0.216726619,30,1337,1765,57458,15750
Syracuse University,Syracuse,13244,43.040005,-76.136633,0.532288167,27,1184,14768,57450,27000
Cooper Union for the Advancement of Science and Art,New York,10003-7120,40.72938,-73.990516,0.150630915,32,1388,852,57429,17500
Case Western Reserve University,Cleveland,44106,41.500812,-81.605769,0.383104035,31,1375,4807,57405,21500
Princeton University,Princeton,08544-0070,40.34853,-74.663603,0.074434143,33,1491,5258,57400,6245
School of the Art Institute of Chicago,Chicago,60603,41.879646,-87.621411,0.691463741,23,1065,2783,57361,19750
University of Redlands,Redlands,92373-0999,34.063571,-117.163847,0.730862563,25,1110,3710,57347,24500
Clarkson University,Potsdam,13699,44.663761,-74.999947,0.621402513,27,1195,3130,57221,24250
Rose-Hulman Institute of Technology,Terre Haute,47803-3920,39.480946,-87.32357,0.587874659,30,1308,2208,57138,25739.5
Lehigh University,Bethlehem,18015,40.607158,-75.378887,0.342685893,30,1326,5034,57043,23024.5
Loyola Marymount University,Los Angeles,90045-2659,33.970633,-118.415655,0.527110671,28,1218,6064,57016,19500
Bentley University,Waltham,02452-4705,42.388798,-71.220148,0.461147519,28,1247,4190,56768,26000
American University,Washington,20016-8001,38.937802,-77.090106,0.45842979,28,1252,7094,56620,20500
Whitman College,Walla Walla,99362,46.07135,-118.33016,0.410073912,30,1323,1480,56600,15750
Drexel University,Philadelphia,19104,39.954855,-75.188745,0.760115424,25,1186,16681,56402,19658.5
Grinnell College,Grinnell,50112-1690,41.747048,-92.721246,0.280125454,32,1398,1670,56354,10077
Mills College,Oakland,94613,37.782639,-122.18789,0.761369716,26,1152,909,56336,18750
Catholic University of America,Washington,20064,38.935796,-76.998961,0.739116769,25,1130,3529,55995,22500
University of Puget Sound,Tacoma,98416,47.263651,-122.479714,0.792942862,28,1230,2550,55948,20175
University of Denver,Denver,80208,39.695954,-104.964625,0.764886613,28,1231,5629,55476,19500
Quinnipiac University,Hamden,6518,41.419527,-72.895542,0.65910851,25,1104,6503,55265,22500
Yeshiva University,New York,10033-3299,40.8508,-73.928541,0.817968291,26,1221,2814,55075,13013
Willamette University,Salem,97301,44.935743,-123.030727,0.81305638,27,1209,2009,54536,19500
Rice University,Houston,77005-1827,29.716485,-95.403625,0.151004061,33,1460,3888,54291,8750
University of the Pacific,Stockton,95211-0197,37.980624,-121.307296,0.548969242,27,1185,3802,54032,20723.5
Baylor University,Waco,76798,31.545956,-97.119359,0.553601982,27,1227,13801,53797,20500
Westmont College,Santa Barbara,93108-1089,34.449265,-119.661932,0.79362815,26,1175,1297,53670,19500
University of Scranton,Scranton,18510-4629,41.40715,-75.658031,0.772649936,25,1125,3909,53567,26848
The University of the Arts,Philadelphia,19102-4901,39.946017,-75.165888,0.695448461,21,1006,1726,53508,24250
The College of Wooster,Wooster,44691,40.81046,-81.934674,0.590867746,28,1229,2029,53500,22250
Emerson College,Boston,02116-4624,42.35532,-71.074037,0.491790102,28,1244,3757,53499,23000
Otis College of Art and Design,Los Angeles,90045-3505,33.956607,-118.416615,0.664772727,22,1010,1090,53439,26500
DePauw University,Greencastle,46135-1772,39.63953,-86.863556,0.565987934,27,1213,2185,53410,22710
Pace University-New York,New York,10038-1598,40.711014,-74.004719,0.849891871,23,1054,8163,53010,18000
Rhodes College,Memphis,38112-1690,35.154424,-89.989187,0.599940863,29,1296,2007,52958,23268
Hendrix College,Conway,72032-3080,35.09972,-92.442021,0.828228228,28,1244,1322,52536,18225
Seattle University,Seattle,98122-4340,47.610138,-122.3197,0.733495671,27,1183,4415,52458,22444
Menlo College,Atherton,94027-4301,37.452906,-122.181444,0.450571792,21,995,793,52454,18750
